SMILES,PA
C[NH+](C)C(C)(C)C,228.00
CN(C)CCN(C)C,232.00
NCCCCCCN,235.40
CN(C)C[Si](C)(C)C,227.70
Clc1ccc(C=O)cc1,197.60
Fc1cccc(C=O)c1,194.10
Fc1ccc(C=O)cc1,196.70
O=Cc1ccccc1,193.20
CC(=O)c1cccnc1,214.40
Cc1ccccc1,137.50
COc1ccccc1,181.20
CNc1ccccc1,217.40
Cc1ccc(N)cc1,211.60
Cc1cccc(N)c1,211.60
Cc1ccnc(C)c1,225.10
Cc1ccc(C)nc1,224.50
Cc1cncc(C)c1,223.50
COc1ccccc1N,217.40
COc1ccc(N)cc1,212.30
COc1cccc(N)c1,214.00
C1CC2CC1C=C2,198.80
CC1=CCCCC1,196.60
C1CN2CCC1CC2,228.60
CCCCCCCN,216.50
C(c1ccc(C([2H])([2H])[2H])cc1)([2H])([2H])[2H],189.80
FC(F)(F)c1ccc(C=O)cc1,189.10
O=Cc1ccc(cc1)C#N,185.40
C=Cc1ccccc1,199.30
CC(=O)c1ccccc1,203.00
Cc1ccc(C=O)cc1,201.80
COC(=O)c1ccccc1,200.00
COc1ccc(C=O)cc1,210.80
Cc1ccccc1C,191.10
CCc1ccccc1,189.60
Cc1ccc(C)cc1,188.92
Cc1cccc(C)c1,194.60
CCNc1ccccc1,220.00
CN(C)c1ccccc1,220.10
CC(C)(C)SC(C)(C)C,210.40
CC[C@H](C)[NH2+][C@H](C)CC,228.99
CCCCNCCCC,225.00
CCC(C)NC(C)CC,228.10
CCN(C(C)C)C(C)C,231.40
CC(C)(C)NC(C)(C)C,229.90
CC(=C)c1ccc(Cl)cc1,203.00
CC(=C)c1ccc(F)cc1,204.70
C#CCN(CC#C)CC#C,217.00
CC(=C)c1ccccc1,205.20
Cc1cc(C)cc(C)c1,198.40
OCC1OC(C(O)C1O)N2C=CC(=O)NC2=O,207.00
CN(C)c1cccc(C)c1,221.00
CCN(C)c1ccccc1,226.60
NC1=NC(=O)N(C=C1)C2OC(CO)C(O)C2O,222.00
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2CCC(=O)NC2=O,207.00
C=CCN(CC=C)CC=C,226.80
CCCN(CCC)CCC,230.90
c1ccc2cccc2cc1,223.30
[Fe++].[cH-]1cccc1.[cH-]2cccc2,208.00
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3cncnc23,222.00
COc1ccc(cc1)C(C)=C,214.60
C1CCN(C1)c2ccccc2,221.40
Nc1ncnc2n(cnc12)C3CCCC3,222.10
Nc1ncnc2n(cnc12)C3OC(CO)C(O)C3O,222.00
CC1=CN(C2CC(O)C(CO)O2)C(=O)NC1=O,207.00
CCN(CC)c1ccccc1,229.30
C1CC2CCCN(C1)CCC2,227.90
C1CN2CCC1c3ccccc23,228.30
C1CCN(CC1)c2ccccc2,223.90
CC1(C)O[C@@H]2[C@@H](CO)O[C@H]([C@@H]2O1)N3C=CC(=O)NC3=O,207.00
OC(=O)Cc1ccc(O)c(O)c1,232.00
O=C(c1ccccc1)c2ccccc2,210.87
CC1(C)O[C@@H]2[C@@H](CO)O[C@H]([C@@H]2O1)n3cnc4C(=O)N=C(N)Nc34,222.00
CC(C)(C)c1cccc(n1)C(C)(C)C,228.40
C=C(c1ccccc1)c2ccccc2,209.20
CC[P](=O)(c1ccccc1)c2ccccc2,220.00
CC(C)[P](=O)(c1ccccc1)c2ccccc2,220.00
CCCC[P](=O)(c1ccccc1)c2ccccc2,220.00
c1ccc(cc1)N(c2ccccc2)c3ccccc3,217.23
[H+].[Cl-],120.00
[2H][2H],98.00
[H+].[F-],112.00
OF,134.00
FN(F)F,151.00
F[S](F)(F)(F)(F)F,144.00
[H+].[I-],145.00
[OH-].[K+],263.50
[H],99.90
O,167.00
S,173.90
N,197.00
P,200.00
NN,221.00
[Si],155.00
[He],41.50
N=O,127.00
N#N,112.60
[N-]=[N+]=O,138.00
O=O,100.90
O=[S](=O)=O,142.00
[Xe],113.20
O=C1NC=CC(=O)N1,205.00
Nc1ncnc2n(cnc12)C3OC(CO)C(O)C3O,236.40
NCC(O)=O,211.83
NC(CS)C(O)=O,215.87
CC(N)C(O)=O,213.79
CC(C)C(N)C(O)=O,217.60
NC(CCCN=C(N)N)C(O)=O,236.30
NC(Cc1[nH]cnc1)C(O)=O,236.23
NC(Cc1ccc(O)cc1)C(O)=O,221.30
NC(CC(O)=O)C(O)=O,217.23
NC(CO)C(O)=O,216.18
NC1=NC(=O)c2ncn(C3OC(CO)C(O)C3O)c2N1,237.42
NCCCCC(N)C(O)=O,238.05
CSCCC(N)C(O)=O,223.56
NC1=CC=NC(=O)N1,227.03
NCCc1[nH]cnc1,238.95
OC(=O)C1CCCN1,221.29
NC(CCC(O)=O)C(O)=O,234.66
N[C@@H](CCC(N)=O)C(O)=O,224.13
NC(CC(N)=O)C(O)=O,230.69
CC[C@H](C)[C@H](N)C(O)=O,220.69
CC(C)CC(N)C(O)=O,218.59
NC(Cc1ccccc1)C(O)=O,220.58
NCCO,222.35
OCC(O)CO,202.82
NC1=NC(=O)N(C=C1)C2OC(CO)C(O)C2O,234.82
Nc1ncnc2nc[nH]c12,225.33
NC1=NC(=O)c2[nH]cnc2N1,229.32
CC1=CNC(=O)NC1=O,210.54
NC(=O)c1cccnc1,219.48
CN1CCC[C@H]1c2cccnc2,230.26
NCCCO,230.04
C1Cc2ccncc2C1,230.02
CCN(CC)c1ccc(C)cc1,230.10
CCCN(C)C,230.10
Cc1cccc(C)n1,230.20
CCCN(CCC)c1ccccc1,230.20
Cc1[nH]ccn1,230.30
CCCCCCc1ccccn1,230.30
CCN(C)N(C)CC,230.30
C1CNC(C1)c2cccnc2,230.40
CCN(CC)c1cccc(C)c1,230.40
CCN(CC)N(CC)CC,230.50
CC(C)c1ccc(C)c2ccc(C)c2c1,235.00
C[N+](C)(C)[O-],235.00
[NH3+]CCCCO,235.30
CCP(CC)CC,235.30
CCCN(CCC)CCC,236.90
NC1=NC(=O)c2ncn(C3CC(O)C(CO)O3)c2N1,237.90
Cc1cn2c(C)cccc2n1,238.10
Cc1nc2ccccn2c1C,238.60
CCCCN(CCCC)CCCC,238.60
CN(C)C12CC3CC(CC(C3)C1)C2,237.50
NCCCCCN,238.90
CC1(C)CC(=O)C=C(C1)N2CCCCC2,239.20
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,240.60
CN(C)C=NCc1ccccc1,242.40
CN(C)CCc1[nH]cnc1,244.30
CN(C)CCCN,245.00
CN(C)c1cccc2cccc(N(C)C)c12,245.70
CN(C)CCCCCCN(C)C,247.60
C[NH+](C)CCCC[NH+](C)C,250.10
C1CNC2=CCCCN2C1,250.10
CN1CCCN2CCCN=C12,254.00
CCN1CCCN2CCCN=C12,255.30
[Cl],122.80
[Br],132.50
FC(F)(F)Cl,136.50
FC(F)(F)Br,138.60
[H+].[Br-],139.60
[O-][N+]=O,141.30
[OH-],141.80
[C-]#[O+],142.00
F[S](F)(=O)=O,144.70
[I],145.40
[CH2]C,147.20
O[C]=O,149.00
O=[O]=O,149.50
[P],149.80
FC(F)(F)I,150.10
O=C=S,150.20
FC#N,151.10
[CH]=O,152.00
C#C,153.30
CCl,154.70
C[C]=O,156.10
O[O-],157.70
S,158.80
FC(F)=O,159.30
FC(=O)C(F)(F)F,159.80
[PH2],160.20
FC(F)(F)C(=O)C(F)(F)F,160.20
O=[S]=O,160.70
OO,161.20
NCCN,161.30
OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,161.80
CC(C)C,162.00
FC(F)(F)C(Cl)=O,162.90
O=[P],163.00
FC(F)(F)C=O,163.80
FC#C,164.00
OC(C(F)(F)F)C(F)(F)F,164.10
C1CCCCC1,164.20
NCC(F)(F)F,164.50
CC(O)(C(F)(F)F)C(F)(F)F,165.20
FC(F)(F)C(F)(F)C#N,165.40
NCC(F)(F)C(F)(F)C(F)(F)F,165.70
CCCl,165.70
F[P](F)(F)=O,165.90
FP(F)F,166.20
FC(F)C(=O)C(F)F,167.00
C#P,167.10
O[S](O)(=O)=O,167.20
FC(F)(F)COCC(F)(F)F,167.90
FC(F)(F)N=O,168.10
C=O,170.40
OCCF,171.00
Fc1ccc(F)cc1,171.80
COC(F)(F)F,171.90
ClC(Cl)(Cl)C=O,172.60
CC(=O)C(F)(F)F,173.00
Fc1cccc(F)c1F,173.10
OB(O)O,174.00
CO[N+]([O-])=O,175.30
C#CC#C,176.20
OC=O,177.30
COC(=O)C#N,178.20
CC(=O)C#N,178.50
COCC(F)(F)F,178.70
C#CC#N,179.50
O[N+]([O-])=O,179.60
ClC(Cl)=S,179.90
N=C=O,180.00
[Fe],180.20
Brc1ccccc1,180.20
CO,180.30
N=[N+]=[N-],180.70
N[N+]([O-])=O,181.00
ON=C,181.20
COCC#N,181.20
CCOC(=O)C(F)(F)F,181.40
[O-][N+](=O)c1[nH]nc(c1)[N+]([O-])=O,181.50
C=S,181.60
C[S](O)(=O)=O,182.00
FCC(=O)CF,182.30
Cc1ccc(Cl)cc1,182.30
OB(O)O,182.40
Cc1ccc(F)cc1,182.60
CN=C=O,182.70
CCOC(Cl)=O,182.80
Fc1nc(F)c(F)c(F)c1F,182.80
CSC(=O)C(F)(F)F,182.90
OCCCl,183.10
OCCBr,183.10
C1CC=CC1,183.20
[CH2]=[C]=[CH2],183.30
CC(=O)C(Cl)(Cl)Cl,183.60
COCCO,183.70
OC(=O)C(Cl)(Cl)Cl,184.00
C=N,184.60
FCCl,184.60
ClCCC#N,184.80
Cc1ccccc1F,184.80
[O]C=C,185.00
C1CO1,185.00
C=C=O,185.20
Cc1ccc(Br)cc1,185.30
Cc1ccccc1Br,185.30
[O-][N+](=O)c1ccc(cc1)C#N,185.40
CC#CC,185.40
OCc1ccccc1,186.00
C[CH]=[C]=[CH2],186.20
N#Cc1ccc(cc1)C#N,186.20
CC#N,186.20
N#Cc1cccc(c1)C#N,186.30
Cc1ccccc1I,186.50
[O-][N+](=O)c1cccc(c1)C#N,186.80
Cc1cccc(Br)c1,186.90
COC=O,187.00
C=CC=C,187.20
NC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,187.30
Cc1cccc(Cl)c1,187.40
O=C=CC#N,187.40
C1CC=C1,187.50
C1CCC=CC1,187.50
c1cc[as]cc1,187.60
CSCC#N,187.60
Cc1cccc(F)c1,187.70
FC(F)(F)c1ccc(cc1)C#N,188.10
Cn1nc(cc1[N+]([O-])=O)[N+]([O-])=O,188.50
N#P,188.70
CCCc1ccccc1,188.80
CCOC(=O)C(Cl)(Cl)Cl,188.90
Cc1ccccc1Cl,188.90
FC(F)(F)c1cccc(c1)C#N,189.10
C=S,189.20
CC(C)c1ccccc1,189.20
CCCCc1ccccc1,189.30
CC(C)O,189.50
CC(C)CO,189.70
CCC#N,189.80
[O-][N+](=O)c1ccc(C=O)cc1,190.00
CC(=O)CF,190.10
CC(C)(C)CO,190.10
C=CC=O,190.50
CF,190.70
C[S](=O)(=O)c1ccc(cc1)C#N,190.90
C=[S]=O,190.90
O=C1C=CC(=O)C=C1,191.00
FC(F)(F)C(=O)c1ccccc1,191.00
CCCCC#C,191.20
[O-][N+](=O)c1ccccc1,191.30
CCCCS,191.60
C(Cc1ccccc1)c2ccccc2,191.60
CC(=O)C(C)=O,191.70
C(c1ccccc1)c2ccccc2,191.70
OCC1CCCCC1,191.70
CC(C)=C,191.70
CCCCC#N,191.80
O=C1CCC1,191.80
B1NBNBN1,191.80
CP=C,191.80
CC(C)CS,191.80
CC(C)(C)O,191.80
c1ccc2ccccc2c1,191.90
CN(C)C(F)(F)F,191.90
C1OP2OCC1O2,191.90
CC1CO1,192.00
C1CC(CCC1c2ccccc2)c3ccccc3,192.20
CCCOC=O,192.40
CCCCC=C,192.40
N#CCc1ccccc1,192.50
NC#N,192.50
C1CC(CCC1Cc2ccccc2)Cc3ccccc3,192.60
CCCC#CC,192.70
